DOI;abstract_id;abstract
https://doi.org/10.1523/JNEUROSCI.2043-22.2023;1;first To fluidly engage with the world
https://doi.org/10.1523/JNEUROSCI.0726-23.2023;2;first The amygdala plays a key role in the processing of itch and pain signals as well as emotion. A previous study revealed that the central nucleus of the amygdala (CeA)-parabrachial nucleus (PBN) pathway is involved in pain regulation. The same pathway might also control itch. To test this possibility
https://doi.org/10.1523/JNEUROSCI.0237-23.2023;3;first Vascular endothelial cells play an important role in maintaining brain health
https://doi.org/10.1523/JNEUROSCI.1045-22.2022;4;"first Computational models of rodent physiology implicate hippocampal theta as a key modulator of learning and memory (Buzsáki and Moser
https://doi.org/10.1523/JNEUROSCI.0371-22.2022;5;first Humans can label and categorize objects in a visual scene with high accuracy and speed
https://doi.org/10.1523/JNEUROSCI.1718-22.2022;6;"first Distress tolerance (DT) is defined as the ability to persist in challenging goal-directed behavior in the face of stress
https://doi.org/10.1523/JNEUROSCI.1053-22.2022;7;first The brain is a system that performs numerous functions by controlling its states. Quantifying the cost of this control is essential as it reveals how the brain can be controlled based on the minimization of the control cost
https://doi.org/10.1523/JNEUROSCI.0148-22.2022;8;first Fluid intelligence
https://doi.org/10.1523/JNEUROSCI.1796-22.2023;9;"first This study examined the effect of danger on consolidation of neutral information in two regions of the rat (male and female) medial temporal lobe: the perirhinal cortex (PRh) and basolateral amygdala complex (BLA). The neutral information was the association that forms between an auditory stimulus and a visual stimulus (labeled S2 and S1) across their pairings in sensory preconditioning. We show that
https://doi.org/10.1523/JNEUROSCI.0874-22.2022;10;first Thalamus is a critical component of the limbic system that is extensively involved in both basic and high-order brain functions. However
https://doi.org/10.1523/JNEUROSCI.2124-21.2022;11;first The behavioral state of a mammal impacts how the brain responds to visual stimuli as early as in the dorsolateral geniculate nucleus of the thalamus (dLGN)
https://doi.org/10.1523/JNEUROSCI.1672-22.2022;12;"first Human vision processes light and dark stimuli in visual scenes with separate ON and OFF neuronal pathways. In nature
https://doi.org/10.1523/JNEUROSCI.1849-22.2023;13;first Neural oscillations are thought to support speech and language processing. They may not only inherit acoustic rhythms
https://doi.org/10.1523/JNEUROSCI.1966-21.2022;14;first Sleep facilitates abstraction
https://doi.org/10.1523/JNEUROSCI.0028-23.2023;15;first Reward seeking requires the coordination of motor programs to achieve goals. Midbrain dopamine neurons are critical for reinforcement
https://doi.org/10.1523/JNEUROSCI.1244-22.2022;16;first Arousal state affects neural activity and vascular dynamics in the cortex
https://doi.org/10.1523/JNEUROSCI.0249-23.2023;17;first It is generally assumed that frequency selectivity varies along the cochlea. For example
https://doi.org/10.1523/JNEUROSCI.2075-22.2023;18;first Respiration-rhythmic oscillations in the local field potential emerge in the mPFC
